item_id,difficulty,discrimination,guessing
item_1,0.8755034479896073,1.9542056499130533,0.08087254305484047
item_2,0.4246698280134713,1.7982606888409705,0.1462280203709635
item_3,-0.8634196446129225,1.72560810642392,0.15651788651031717
item_4,2.919091492757878,0.8868542405674098,0.06036470736448538
item_5,0.6346489161413231,0.7563313810850987,0.11732085563878412
item_6,-1.5766392495840331,1.5029648298866465,0.07688293538779485
item_7,-2.3893051642775776,1.8940639836913786,0.06267499409455356
item_8,-2.0828451648940076,1.3351443395208946,0.24799204647798906
item_9,-1.5242536296929512,1.3574190342048498,0.1144707689949446
item_10,-2.0359117604426658,0.9199686404904263,0.211974889170927
item_11,-1.8805978556921654,1.6542393997879055,0.10092813095275277
item_12,-1.2894289878369174,0.7805656228362851,0.1863005444447859
item_13,-1.959758428231471,0.9855188546063656,0.20204557197793732
item_14,2.3805925477585514,1.1381546579246251,0.16912774812156886
item_15,-2.5185975260301467,1.2614155680266825,0.14431523771003169
item_16,0.14706833742152803,0.8636145986226204,0.13236818282945373
item_17,-0.5376190380620312,0.6722552371088053,0.11977365330859907
item_18,2.894271701451638,1.415930063662449,0.23590582884956518
item_19,-2.327766586991686,0.9329458298603837,0.21612388155754586
item_20,-0.6128664057255504,1.3718573321339185,0.24300538213330253
