item_id,difficulty,discrimination,guessing
item_1,2.2642384315677324,1.2670135982914066,0.1656560281992348
item_2,1.4446117065252269,1.2522744420307994,0.05718845475934842
item_3,1.1820944459716074,1.6974427684501627,0.14311960362649204
item_4,1.2149045039226554,1.4749458961666477,0.15852892694151532
item_5,-0.843053092681469,1.552950315886555,0.10730825042565689
item_6,-1.2384489344130398,1.6936890041541517,0.16816665211380216
item_7,1.8561669328710817,1.8350080127263495,0.05610004998780989
item_8,1.8606803680750845,1.0069927352773038,0.057469637749842886
item_9,2.2024339114806217,1.063374428959916,0.21452011213193167
item_10,2.479443315338828,0.6409729097613035,0.12203812828225258
